"placename","date","days","Common Racoon","Coyote","Fox","Gray squirrel","Mourning dove","Mouse","North American beaver","Northern flicker","Pileated woodpecker","Virginia opossum","White-tailed deer"
"-2845.595","2022-42",6,0,1,0,2,0,0,0,0,0,0,31
"-2845.595","2022-43",1,0,0,0,0,0,0,0,0,0,0,0
"-2845.595","2022-44",6,1,0,0,3,0,0,0,0,0,2,17
"-2845.595","2022-45",2,0,0,0,0,0,0,0,0,0,0,2
"-2845.595","2022-46",6,2,0,1,0,0,0,0,0,0,0,16
"-2845.595","2022-47",4,0,0,1,3,0,0,0,0,0,0,14
"-2845.621","2022-42",6,0,0,0,0,0,0,0,0,0,0,12
"-2845.621","2022-43",1,0,0,0,0,0,0,0,0,0,0,1
"-2845.621","2022-44",6,0,0,0,0,0,0,0,0,0,0,16
"-2845.621","2022-45",2,0,0,0,0,0,0,0,0,0,0,1
"-2845.621","2022-46",6,0,0,0,0,0,0,0,0,0,0,11
"-2845.621","2022-47",4,0,0,0,0,0,0,0,0,0,0,9
"-2845.631","2022-45",1,0,0,0,0,0,0,0,0,0,0,0
"-2845.631","2022-46",7,0,0,0,0,0,0,0,0,0,0,1
"-2845.631","2022-47",7,0,0,0,0,0,0,0,0,0,0,4
"-2845.631","2022-48",7,0,0,0,0,0,0,0,0,0,0,7
"-2845.631","2022-49",7,0,0,0,0,0,0,0,0,0,0,2
"-2845.631","2022-50",7,0,0,0,0,0,0,0,0,0,0,2
"-2845.631","2022-51",2,0,0,0,0,0,0,0,0,0,0,0
"-2845.652","2022-42",6,1,0,0,3,0,0,0,0,0,2,8
"-2845.652","2022-43",1,0,0,0,0,0,0,0,0,0,0,0
"-2845.652","2022-44",6,1,0,0,11,0,0,0,0,0,1,1
"-2845.652","2022-45",2,0,0,0,3,0,0,0,0,0,0,0
"-2845.652","2022-46",6,0,0,0,7,0,0,0,0,0,1,7
"-2845.652","2022-47",4,0,0,0,5,0,0,0,0,0,0,2
"-2845.652","2022-51",6,0,0,0,0,0,0,0,0,0,0,1
"-2845.652","2022-52",5,1,0,0,8,0,0,0,0,0,0,0
"-2845.701","2022-45",1,0,0,0,1,0,0,0,0,0,0,0
"-2845.701","2022-46",7,0,0,0,1,0,0,0,0,0,0,0
"-2845.701","2022-47",7,0,0,0,0,0,0,0,0,0,0,5
"-2845.701","2022-48",7,0,0,0,1,0,0,0,0,0,0,2
"-2845.701","2022-49",7,0,0,0,0,0,0,0,0,0,0,1
"-2845.701","2022-50",7,0,0,0,2,0,0,0,0,0,0,2
"-2845.701","2022-51",2,0,0,0,0,0,0,0,0,0,0,1
"-2845.706","2022-42",6,0,0,0,8,0,0,0,1,1,1,3
"-2845.706","2022-43",1,0,0,0,1,0,0,0,0,0,0,0
"-2845.706","2022-44",6,0,0,0,5,0,0,0,0,0,1,0
"-2845.706","2022-45",2,0,0,0,2,0,0,0,0,0,0,0
"-2845.706","2022-46",6,1,0,0,6,0,0,0,0,0,2,1
"-2845.706","2022-47",4,0,0,0,4,0,0,0,0,0,0,2
"-2845.706","2022-51",6,0,0,0,10,1,1,0,0,0,1,2
"-2845.706","2022-52",5,1,0,0,14,0,0,0,0,0,0,0
"-2845.707","2022-42",6,0,0,0,0,0,0,0,0,0,0,4
"-2845.707","2022-43",1,0,0,0,0,0,0,0,0,0,0,1
"-2845.707","2022-44",6,1,0,0,0,0,0,0,0,0,0,12
"-2845.707","2022-45",1,0,0,0,0,0,0,0,0,0,0,0
"-2845.707","2022-46",2,1,0,0,0,0,0,0,0,0,0,0
"-2845.707","2022-51",2,0,0,0,0,0,0,0,0,0,0,1
"-2845.733","2022-42",6,0,0,0,0,0,0,0,0,0,0,2
"-2845.733","2022-43",1,0,0,0,0,0,0,0,0,0,0,1
"-2845.733","2022-44",6,0,0,0,0,0,0,0,0,0,0,0
"-2845.733","2022-45",2,0,0,0,0,0,0,0,0,0,0,0
"-2845.733","2022-46",6,0,0,0,0,0,0,0,0,0,0,6
"-2845.733","2022-47",4,0,0,0,0,0,0,0,0,0,0,0
"-2845.745","2022-46",6,0,0,0,0,0,0,0,0,0,0,0
"-2845.745","2022-47",4,0,0,0,0,0,0,0,0,0,0,1
"-2845.745","2022-51",6,0,0,0,0,0,0,0,0,0,0,0
"-2845.745","2022-52",5,0,0,0,0,0,0,0,0,0,0,2
"-2845.746","2022-42",6,0,0,0,1,0,0,1,0,0,0,20
"-2845.746","2022-43",1,0,0,0,0,0,0,0,0,0,0,3
"-2845.746","2022-44",6,0,0,0,1,0,0,0,0,0,0,26
"-2845.746","2022-45",2,0,0,0,0,0,0,0,0,0,0,8
"-2845.746","2022-46",6,1,0,0,1,0,0,0,0,0,0,9
"-2845.746","2022-47",4,0,0,0,0,0,0,0,0,0,0,4
"-2845.746","2022-51",6,0,0,0,0,0,0,0,0,0,0,2
"-2845.746","2022-52",5,0,0,0,0,0,0,0,0,0,0,2
"-2845.764","2022-42",6,1,0,0,0,0,0,0,0,0,0,1
"-2845.764","2022-43",1,0,0,0,1,0,0,0,0,0,0,0
"-2845.764","2022-44",6,0,0,0,0,0,0,0,0,0,0,7
"-2845.764","2022-45",2,0,0,0,0,0,0,0,0,0,0,1
"-2845.764","2022-46",6,0,0,0,0,0,0,0,0,0,0,1
"-2845.764","2022-47",4,0,0,0,0,0,0,0,0,0,0,2
"-2845.764","2022-51",6,0,0,0,0,0,0,0,0,0,0,7
"-2845.764","2022-52",5,0,0,0,0,0,0,0,0,0,0,1
"-2845.786","2022-42",6,0,0,0,0,0,0,0,0,0,0,2
"-2845.786","2022-44",6,0,0,0,0,0,0,0,0,0,0,3
"-2845.786","2022-45",2,0,0,0,0,0,0,0,0,0,0,0
