project_id,camera_id,camera_name,make,model,serial_number,year_purchased
Gate12,202201,KB1,Vikeri,NA,NA,NA
Gate12,202202,KB2,Vikeri,NA,NA,NA
Gate12,202203,KB3,GardePro,NA,NA,2022
Gate12,202204,KB4,GardePro,NA,NA,2022
Gate12,202205,KB5,GardePro,NA,NA,2022
Gate12,202206,KB6,GardePro,NA,NA,2022
Gate12,202207,KB7,GardePro,NA,NA,2022
Gate12,202208,KB8,GardePro,NA,NA,2022
Gate12,202209,KB9,Vikeri,NA,NA,NA
Gate12,202210,KB10,Vikeri,NA,NA,NA
Gate12,202211,KB11,GardePro,NA,NA,2022
Gate12,202212,KB12,GardePro,NA,NA,2022
